Hand Number, Hand Wager, Hand Net, Hand Total, Bank Total
1,100,100,15,10100
2,100,-100,16,10000
3,200,-200,12,9800
4,100,-100,17,9700
5,100,100,21,9800
6,100,-100,19,9700
7,100,100,14,9800
8,100,-100,16,9700
9,100,100,17,9800
10,200,-200,16,9600
11,100,100,17,9700
12,200,200,20,9900
13,100,-100,25,9700
14,100,100,20,9900
15,200,-200,16,9700
16,100,0,20,9700
17,100,-100,26,9600
18,100,-100,24,9500
19,100,100,18,9600
20,100,100,19,9700
21,100,100,19,9800
22,100,-100,20,9700
23,100,-100,24,9600
24,100,-100,19,9500
25,100,0,21,9500
26,100,100,20,9600
27,100,100,16,9700
28,100,150,21,9850
29,100,100,14,9950
30,100,-100,24,9850
31,100,-100,17,9750
32,100,-100,15,9650
33,100,-100,13,9550
34,100,150,21,9700
35,100,-100,26,9600
36,100,100,21,9600
37,100,-100,25,9600
38,100,-100,23,9500
39,200,-200,16,9300
40,100,150,21,9450
41,100,-100,24,9250
42,100,0,20,9350
43,200,-200,20,9150
44,100,100,17,9250
45,100,-100,25,9150
46,100,-100,22,9050
47,200,0,20,9050
48,100,-100,19,8950
49,200,-200,15,8750
50,100,-100,23,8650
51,100,-100,23,8550
52,100,-100,17,8450
53,100,100,20,8550
54,100,100,20,8650
55,100,-100,17,8550
56,100,-100,17,8450
57,100,100,19,8550
58,100,100,19,8650
59,100,100,19,8750
60,100,-100,14,8650
61,100,-100,25,8550
62,100,-100,25,8450
63,100,-100,14,8250
64,100,-100,17,8250
65,100,-100,17,8150
66,100,100,18,8250
67,100,-100,15,8150
68,100,-100,11,8050
69,100,100,13,8150
70,100,-100,10,8050
71,200,-200,14,7850
72,100,100,20,7950
73,100,100,15,8050
74,100,-100,20,7950
75,100,100,15,8050
76,100,100,20,8150
77,100,0,20,8150
78,100,-100,19,8050
79,100,-100,7,7950
80,100,100,21,8050
81,100,100,18,8150
82,100,-100,14,8050
83,100,100,21,8150
84,100,100,20,8250
85,100,100,14,8350
86,200,-200,16,8150
87,100,-100,18,8050
88,100,100,20,8150
89,100,100,14,8250
90,200,200,21,8450
91,100,0,17,8450
92,200,200,19,8650
93,100,-100,14,8450
94,100,-100,13,8450
95,100,-100,24,8350
96,100,-100,17,8250
97,100,-100,24,8150
98,100,100,12,8250
99,100,100,20,8350
100,100,-100,18,8250
101,100,-100,17,8150
102,100,0,20,8150
103,100,-100,13,8050
104,100,100,20,8150
105,100,-100,17,8050
106,100,100,20,8150
107,100,-100,24,8050
108,100,-100,18,7950
109,100,0,17,7950
110,100,-100,25,7850
111,100,-100,22,7750
112,100,-100,17,7650
113,100,100,20,7750
114,100,-100,17,7650
115,100,100,16,7750
116,100,150,21,7900
117,100,-100,18,7800
118,100,150,21,7950
119,100,-100,17,7750
120,100,100,19,7950
121,200,-200,12,7750
122,100,-100,22,7650
123,100,100,17,7750
124,100,100,20,7850
125,100,-100,16,7750
126,200,-200,17,7550
127,100,0,18,7550
128,200,200,21,7750
129,100,-100,13,7650
130,100,0,20,7650
131,100,100,19,7750
132,100,100,19,7850
133,100,100,18,7950
134,100,0,18,7950
135,100,100,21,8050
136,200,200,17,8250
137,100,0,17,8250
138,100,100,12,8350
139,100,-100,22,8250
140,100,-100,24,8150
141,100,-100,17,8050
142,100,-100,23,7950
143,100,100,17,8050
144,100,-100,26,7950
145,100,-100,12,7850
146,100,150,21,8000
147,100,100,20,8100
148,100,-100,25,7800
149,200,200,21,8200
150,100,-100,18,8100
151,100,0,19,8100
152,100,100,20,8200
153,100,-100,17,8100
154,100,100,19,8200
155,100,-100,23,8100
156,200,-200,12,7900
157,100,0,19,7900
158,200,200,21,8100
159,100,-100,17,8000
160,100,-100,22,7900
161,100,100,20,8000
162,100,-100,25,7900
163,100,100,18,8000
164,200,200,20,8200
165,100,-100,23,8100
166,100,100,19,8200
167,100,-100,14,8100
168,100,-100,23,8000
169,200,200,20,8200
170,200,200,13,8400
171,100,-100,14,8300
172,200,200,17,8500
173,100,100,16,8600
174,100,-100,18,8500
175,200,-200,13,8300
176,100,100,20,8400
177,100,100,20,8500
178,100,100,19,8600
179,100,0,20,8600
180,100,-100,17,8500
181,100,0,19,8500
182,100,150,21,8650
183,200,200,18,8850
184,100,0,20,8850
185,100,-100,13,8750
186,100,-100,19,8650
187,100,100,21,8750
188,100,100,17,8850
189,200,-200,13,8650
190,100,0,20,8650
191,100,-100,19,8550
192,100,-100,16,8450
193,100,100,17,8550
194,100,-100,10,8450
195,100,100,18,8550
196,100,100,21,8650
197,200,-200,16,8450
198,100,-100,17,8350
199,100,-100,24,8250
200,100,100,21,8350
201,200,200,19,8550
202,200,-200,17,8350
203,100,100,20,8450
204,100,100,17,8550
205,100,-100,17,8450
206,200,200,19,8650
207,100,-100,17,8550
208,100,-100,24,8450
209,100,100,20,8550
210,100,-100,17,8450
211,100,-100,24,8350
212,100,100,17,8450
213,100,-100,20,8350
214,100,100,18,8450
215,200,-200,20,8250
216,100,100,20,8350
217,100,-100,13,8250
218,100,150,21,8400
219,100,100,20,8500
220,100,-100,22,8400
221,100,-100,24,8300
222,100,-100,17,8200
223,100,100,18,8300
224,100,100,19,8400
225,100,100,13,8500
226,100,-100,22,8400
227,100,-100,24,8300
228,100,-100,15,8200
229,100,100,18,8300
230,100,100,20,8400
231,100,-100,26,8300
232,100,150,21,8450
233,100,0,20,8450
234,100,-100,16,8350
235,100,-100,24,8250
236,100,100,12,8350
237,100,-100,22,8250
238,100,100,20,8350
239,100,-100,24,8250
240,100,100,18,8350
241,100,-100,25,8250
242,200,200,14,8250
243,100,100,17,8450
244,100,100,14,8650
245,100,100,20,8750
246,200,0,17,8750
247,100,-100,14,8650
248,100,-100,18,8550
249,100,-100,15,8450
250,100,100,19,8550
251,100,-100,19,8450
252,100,-100,17,8350
253,100,-100,25,8250
254,100,100,18,8350
255,100,100,20,8450
256,100,-100,13,8350
257,100,-100,17,8250
258,100,-100,18,8150
259,100,-100,16,8050
260,100,-100,22,7950
261,100,-100,26,7850
262,100,100,21,7950
263,100,100,18,8050
264,100,150,21,8200
265,100,-100,22,8100
266,100,100,20,8200
267,200,200,17,8400
268,100,0,20,8400
269,100,-100,23,8300
270,100,0,19,8300
271,100,100,20,8400
