Hand Number, Hand Wager, Hand Net, Hand Total, Bank Total
1,100,-100,19,9900
2,100,-100,24,9800
3,100,100,17,9900
4,200,200,15,10100
5,100,100,21,10100
6,100,100,21,10300
7,100,100,20,10400
8,100,100,18,10500
9,100,100,21,10600
10,100,-100,23,10500
11,200,-200,15,10300
12,100,100,19,10400
13,100,-100,22,10300
14,100,100,20,10400
15,100,-100,18,10300
16,100,-100,17,10200
17,100,-100,12,10100
18,100,150,21,10250
19,100,-100,16,10150
20,100,0,18,10150
21,100,100,20,10250
22,100,100,20,10350
23,100,100,18,10450
24,100,-100,13,10350
25,100,-100,22,10250
26,200,200,17,10450
27,100,-100,18,10350
28,100,-100,17,10250
29,100,-100,23,10150
30,100,100,18,10250
31,100,-100,19,10050
32,100,-100,18,10050
33,200,200,19,10250
34,100,100,19,10350
35,100,-100,17,10250
36,100,100,19,10350
37,100,-100,23,10250
38,100,100,15,10350
39,100,0,18,10350
40,100,-100,13,10250
41,200,200,20,10450
42,100,-100,20,10350
43,100,150,21,10500
44,100,-100,20,10400
45,100,100,18,10500
46,100,100,21,10600
47,100,100,15,10700
48,100,-100,16,10600
49,100,0,21,10600
50,100,-100,25,10500
51,200,200,19,10700
52,100,-100,13,10600
53,100,-100,19,10500
54,100,100,16,10600
55,100,0,17,10600
56,100,0,17,10600
57,100,-100,13,10500
58,100,-100,19,10400
59,100,-100,18,10300
60,100,-100,18,10200
61,100,-100,5,10100
62,100,-100,22,10000
63,100,-100,14,9900
64,200,200,19,10100
65,100,-100,14,10000
66,100,100,20,10100
67,100,100,17,10200
68,100,-100,13,10100
69,100,-100,25,10000
70,100,-100,24,9900
71,100,100,14,10000
72,100,100,17,10100
73,100,100,20,10200
74,100,-100,14,10100
75,100,-100,22,10000
76,100,-100,10,9900
77,100,-100,17,9800
78,100,-100,15,9700
79,100,100,19,9800
80,100,-100,9,9700
81,100,100,19,9800
82,100,-100,18,9700
83,100,0,19,9700
84,100,150,21,9850
85,100,-100,22,9750
86,100,100,18,9850
87,100,-100,10,9750
88,100,-100,13,9650
89,100,-100,18,9550
90,100,100,20,9650
91,100,-100,18,9550
92,100,100,21,9650
93,100,100,15,9750
94,200,200,21,9950
95,100,-100,24,9850
96,100,-100,14,9750
97,100,100,18,9850
98,100,100,20,9950
99,100,0,20,9950
100,100,100,20,10050
101,100,0,20,10050
102,100,150,21,10200
103,100,-100,25,10100
104,100,-100,17,10000
105,200,200,18,10200
106,100,100,19,10300
107,100,100,16,10400
108,100,-100,24,10300
109,100,150,21,10450
110,100,-100,18,10350
111,100,100,18,10450
112,100,-100,22,10350
113,100,100,18,10450
114,100,-100,24,10350
115,100,-100,14,10250
116,100,-100,20,10150
117,100,-100,14,10050
118,100,-100,7,9950
119,100,-100,12,9850
120,100,-100,16,9750
121,100,-100,25,9650
122,100,-100,17,9550
123,100,100,14,9650
124,100,-100,20,9550
125,100,100,20,9650
126,100,-100,14,9550
127,100,100,19,9650
128,200,-200,16,9450
129,100,100,17,9550
130,100,-100,15,9450
131,100,100,19,9550
132,100,-100,17,9450
133,100,-100,24,9350
134,100,-100,19,9250
135,100,-100,16,9150
136,100,-100,19,9050
137,100,-100,18,8950
138,200,200,12,9150
139,100,100,20,9250
140,100,0,17,9250
141,100,-100,20,9150
142,100,100,20,9250
143,100,-100,26,9150
144,100,100,19,9250
145,100,-100,23,9150
146,100,100,19,9250
147,100,-100,15,9150
148,100,100,20,9250
149,100,100,14,9350
150,100,100,15,9450
151,100,-100,25,9350
152,100,-100,26,9250
153,100,-100,23,9150
154,100,-100,19,9050
155,100,-100,19,8950
156,100,150,21,9100
157,200,-200,20,8900
158,100,-100,22,8800
159,100,-100,19,8700
160,100,100,18,8800
161,100,-100,14,8700
162,100,100,13,8800
163,100,-100,19,8700
164,100,-100,18,8600
165,100,-100,24,8500
166,100,100,19,8600
167,100,100,14,8700
168,100,100,19,8800
169,100,-100,15,8700
170,100,100,20,8800
171,100,100,20,8900
172,100,100,20,9000
173,100,100,20,9100
174,100,100,20,9200
175,100,-100,14,9100
176,100,-100,22,9000
177,100,100,19,9100
178,100,-100,22,9000
179,100,0,17,9000
180,100,-100,20,8900
181,100,-100,18,8800
182,100,100,17,8900
183,100,100,17,9000
184,100,100,18,9100
185,100,100,21,9200
186,100,0,19,9200
187,100,100,18,9300
188,100,-100,16,9200
189,100,100,19,9300
190,100,-100,25,9200
191,200,200,16,9400
192,100,100,15,9500
193,100,100,20,9600
194,100,100,21,9700
195,100,100,19,9800
196,100,100,12,9900
197,100,-100,19,9800
198,100,150,21,9950
199,100,-100,19,9850
200,100,150,21,10000
201,100,-100,23,9900
202,100,-100,12,9800
203,100,-100,19,9700
204,100,100,19,9800
205,100,100,17,9900
206,100,-100,11,9800
207,100,100,19,9900
208,100,100,20,10000
209,100,-100,24,9900
210,100,100,20,10000
211,100,100,18,10100
212,200,-200,18,9900
213,100,100,17,10000
214,100,-100,26,9900
215,100,100,17,10000
216,100,-100,20,9900
217,100,100,20,10000
218,100,100,20,10100
219,100,-100,12,10000
220,100,150,21,10150
221,100,0,20,10150
222,100,150,21,10300
223,100,-100,12,10200
224,100,100,20,10300
225,100,-100,17,10200
226,100,-100,17,10100
227,100,-100,23,10000
228,100,100,21,10100
229,100,100,21,10200
230,100,150,21,10350
231,100,-100,19,10250
232,100,-100,12,10150
233,100,-100,12,10050
234,100,100,19,10150
235,100,100,21,10250
236,100,-100,16,10150
237,100,100,19,10250
238,100,100,17,10350
239,100,-100,23,10250
240,100,0,21,10250
241,100,-100,26,10150
242,200,200,20,10350
243,200,-200,14,10150
244,100,100,18,10250
245,100,-100,26,10150
246,100,100,20,10250
247,100,100,18,10350
248,100,100,17,10450
249,200,200,19,10650
250,100,100,18,10750
251,200,0,18,10750
252,100,100,21,10850
253,100,-100,26,10750
254,200,200,16,10950
255,100,-100,15,10850
256,200,200,21,11050
257,100,-100,18,10950
258,100,-100,23,10850
259,100,0,20,10850
260,100,100,20,10950
261,100,100,19,11050
262,100,-100,25,10950
263,100,150,21,11100
264,100,-100,12,11000
265,100,100,18,11100
266,100,-100,25,11000
267,100,0,19,11000
268,200,200,20,11200
269,100,100,20,11300
270,100,100,19,11400
271,100,-100,25,11300
272,100,-100,19,11200
273,100,-100,15,11100
274,100,-100,19,11000
275,100,100,20,11100
276,100,0,19,11100
277,200,-200,18,10900
278,100,-100,20,10800
279,100,-100,19,10700
280,100,100,20,10800
281,100,-100,14,10700
282,200,200,4,10900
283,100,150,21,11050
284,100,100,19,11150
285,100,100,20,11250
286,100,100,19,11350
287,100,0,17,11350
288,100,150,21,11500
289,100,-100,20,11400
290,100,-100,14,11300
291,100,-100,26,11200
292,100,100,19,11100
293,100,100,13,11300
294,100,100,19,11500
295,200,200,15,11700
296,100,0,18,11700
297,100,0,18,11700
298,100,0,19,11700
299,100,100,20,11800
300,100,-100,12,11700
301,100,0,18,11700
302,100,-100,13,11600
303,100,100,17,11700
304,100,100,16,11800
305,100,150,21,11950
306,100,-100,16,11850
307,100,100,13,11950
